Species	Phylum	Class	Order	Family	Genus
s__midas_s_8361	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Colidextribacter
s__midas_s_34115	p__Firmicutes	c__Clostridia	o__Clostridia_UCG-014	f__midas_f_4482	g__midas_g_34115
s__midas_s_41331	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Anaerovoracaceae	g__Family_XIII_AD3011_group
s__midas_s_65599	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Anaerovoracaceae	g__Eubacterium_brachy_group
s__midas_s_1191	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus
s__midas_s_60012	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus
s__midas_s_46152	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__midas_f_28615	g__midas_g_46152
s__midas_s_65871	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospiraceae_NK4A136_group
s__midas_s_57029	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UCG-002
s__midas_s_28615	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__midas_f_28615	g__midas_g_28615
s__Phenylobacterium_conjunctum	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium
s__midas_s_6748	p__Firmicutes	c__Clostridia	o__Clostridia_UCG-014	f__midas_f_6748	g__midas_g_6748
s__midas_s_67818	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__midas_g_67818
s__midas_s_29718	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus
s__Bacteroides_ovatus	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides
s__Stenotrophomonas_koreensis	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas
