accession	message	sample_name	sample_title	bioproject_accession	organism	collection_date	env_broad_scale	env_local_scale	env_medium	geo_loc_name	lat_lon	sample_location	sample_content	runid	libraryid
SAMN33821584	Successfully loaded	MQ210607-1			wastewater metagenome	2019-07-12	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Esbjerg West	55.4880 N 8.4307 E	after primary settling	IWW	210607_M00878_0440_000000000-JNCJJ_1	LIB-ESBW-A-1A-01
SAMN33821585	Successfully loaded	MQ210607-2			wastewater metagenome	2019-06-24	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Esbjerg West	55.4880 N 8.4307 E	after primary settling	IWW	210607_M00878_0440_000000000-JNCJJ_1	LIB-ESBW-A-1A-02
SAMN33821586	Successfully loaded	MQ210607-3			wastewater metagenome	2020-02-13	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Esbjerg West	55.4880 N 8.4307 E	after primary settling	IWW	210607_M00878_0440_000000000-JNCJJ_1	LIB-ESBW-A-1A-03
SAMN33821587	Successfully loaded	MQ210607-4			wastewater metagenome	2019-09-10	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Esbjerg West	55.4880 N 8.4307 E	after primary settling	IWW	210607_M00878_0440_000000000-JNCJJ_1	LIB-ESBW-A-1A-04
SAMN33821588	Successfully loaded	MQ210607-5			wastewater metagenome	2019-09-05	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Esbjerg West	55.4880 N 8.4307 E	after primary settling	IWW	210607_M00878_0440_000000000-JNCJJ_1	LIB-ESBW-A-1A-05
SAMN33821589	Successfully loaded	MQ210607-8			wastewater metagenome	2020-02-25	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Esbjerg West	55.4880 N 8.4307 E	after primary settling	IWW	210607_M00878_0440_000000000-JNCJJ_1	LIB-ESBW-A-1A-08
SAMN33821590	Successfully loaded	MQ210607-12			wastewater metagenome	2019-10-31	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Esbjerg West	55.4880 N 8.4307 E	after primary settling	IWW	210607_M00878_0440_000000000-JNCJJ_1	LIB-ESBW-A-1A-12
SAMN33821591	Successfully loaded	MQ210607-15			wastewater metagenome	2019-11-05	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Esbjerg West	55.4880 N 8.4307 E	after primary settling	IWW	210607_M00878_0440_000000000-JNCJJ_1	LIB-ESBW-A-1A-15
SAMN33821592	Successfully loaded	MQ210607-17			wastewater metagenome	2019-08-30	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Esbjerg West	55.4880 N 8.4307 E	after primary settling	IWW	210607_M00878_0440_000000000-JNCJJ_1	LIB-ESBW-A-1A-17
SAMN33821593	Successfully loaded	MQ210607-20			wastewater metagenome	2019-07-18	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Esbjerg West	55.4880 N 8.4307 E	after primary settling	IWW	210607_M00878_0440_000000000-JNCJJ_1	LIB-ESBW-A-1A-20
SAMN33821594	Successfully loaded	MQ210607-22			wastewater metagenome	2019-05-27	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Esbjerg West	55.4880 N 8.4307 E	after primary settling	IWW	210607_M00878_0440_000000000-JNCJJ_1	LIB-ESBW-A-1A-22
SAMN33821595	Successfully loaded	MQ210607-23			wastewater metagenome	2019-06-06	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Esbjerg West	55.4880 N 8.4307 E	after primary settling	IWW	210607_M00878_0440_000000000-JNCJJ_1	LIB-ESBW-A-1A-23
SAMN33821596	Successfully loaded	MQ210607-24			wastewater metagenome	2019-10-08	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Esbjerg West	55.4880 N 8.4307 E	after primary settling	IWW	210607_M00878_0440_000000000-JNCJJ_1	LIB-ESBW-A-1A-24
SAMN33821597	Successfully loaded	MQ210607-25			wastewater metagenome	2019-08-07	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Esbjerg West	55.4880 N 8.4307 E	after primary settling	IWW	210607_M00878_0440_000000000-JNCJJ_1	LIB-ESBW-A-1A-25
SAMN33821598	Successfully loaded	MQ210607-26			wastewater metagenome	2019-04-25	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Esbjerg West	55.4880 N 8.4307 E	after primary settling	IWW	210607_M00878_0440_000000000-JNCJJ_1	LIB-ESBW-A-1A-26
SAMN33821599	Successfully loaded	MQ210607-32			wastewater metagenome	2019-06-18	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Esbjerg West	55.4880 N 8.4307 E	after primary settling	IWW	210607_M00878_0440_000000000-JNCJJ_1	LIB-ESBW-A-1A-32
SAMN33821600	Successfully loaded	MQ210607-35			wastewater metagenome	2020-01-15	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Esbjerg West	55.4880 N 8.4307 E	after primary settling	IWW	210607_M00878_0440_000000000-JNCJJ_1	LIB-ESBW-A-1A-35
SAMN33821601	Successfully loaded	MQ210607-37			wastewater metagenome	2020-01-21	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Esbjerg West	55.4880 N 8.4307 E	after primary settling	IWW	210607_M00878_0440_000000000-JNCJJ_1	LIB-ESBW-A-1A-37
SAMN33821602	Successfully loaded	MQ210607-40			wastewater metagenome	2019-10-22	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Esbjerg West	55.4880 N 8.4307 E	after primary settling	IWW	210607_M00878_0440_000000000-JNCJJ_1	LIB-ESBW-A-1A-40
SAMN33821603	Successfully loaded	MQ210607-41			wastewater metagenome	2019-10-01	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Esbjerg West	55.4880 N 8.4307 E	after primary settling	IWW	210607_M00878_0440_000000000-JNCJJ_1	LIB-ESBW-A-1A-41
SAMN33821604	Successfully loaded	MQ210607-42			wastewater metagenome	2020-01-29	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Esbjerg West	55.4880 N 8.4307 E	after primary settling	IWW	210607_M00878_0440_000000000-JNCJJ_1	LIB-ESBW-A-1A-42
SAMN33821605	Successfully loaded	MQ210607-47			wastewater metagenome	2019-11-13	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Esbjerg West	55.4880 N 8.4307 E	after primary settling	IWW	210607_M00878_0440_000000000-JNCJJ_1	LIB-ESBW-A-1A-47
SAMN33821606	Successfully loaded	MQ210607-48			wastewater metagenome	2019-03-20	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Esbjerg West	55.4880 N 8.4307 E	after primary settling	IWW	210607_M00878_0440_000000000-JNCJJ_1	LIB-ESBW-A-1A-48
SAMN33821607	Successfully loaded	MQ210607-50			wastewater metagenome	2019-11-19	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Esbjerg West	55.4880 N 8.4307 E	after primary settling	IWW	210607_M00878_0440_000000000-JNCJJ_1	LIB-ESBW-A-1A-50
SAMN33821608	Successfully loaded	MQ210913-2			wastewater metagenome	2019-10-11	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-01
SAMN33821609	Successfully loaded	MQ210913-3			wastewater metagenome	2019-09-17	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1A-02
SAMN33821610	Successfully loaded	MQ210913-4			wastewater metagenome	2019-09-17	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-02
SAMN33821611	Successfully loaded	MQ210913-5			wastewater metagenome	2019-12-27	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1A-03
SAMN33821612	Successfully loaded	MQ210913-6			wastewater metagenome	2019-12-27	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-03
SAMN33821613	Successfully loaded	MQ210913-7			wastewater metagenome	2020-01-21	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1A-04
SAMN33821614	Successfully loaded	MQ210913-8			wastewater metagenome	2020-01-21	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-04
SAMN33821615	Successfully loaded	MQ210913-13			wastewater metagenome	2019-12-11	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1A-07
SAMN33821616	Successfully loaded	MQ210913-14			wastewater metagenome	2019-12-11	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-07
SAMN33821617	Successfully loaded	MQ210913-15			wastewater metagenome	2019-12-20	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1A-08
SAMN33821618	Successfully loaded	MQ210913-16			wastewater metagenome	2019-12-20	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-08
SAMN33821619	Successfully loaded	MQ210913-17			wastewater metagenome	2019-10-23	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1A-09
SAMN33821620	Successfully loaded	MQ210913-19			wastewater metagenome	2019-11-08	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1A-10
SAMN33821621	Successfully loaded	MQ210913-20			wastewater metagenome	2019-11-08	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-10
SAMN33821622	Successfully loaded	MQ210913-23			wastewater metagenome	2019-11-20	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1A-12
SAMN33821623	Successfully loaded	MQ210913-24			wastewater metagenome	2019-11-20	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-12
SAMN33821624	Successfully loaded	MQ210913-26			wastewater metagenome	2019-09-04	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-13
SAMN33821625	Successfully loaded	MQ210913-27			wastewater metagenome	2019-09-13	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1A-14
SAMN33821626	Successfully loaded	MQ210913-28			wastewater metagenome	2019-09-13	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-14
SAMN33821627	Successfully loaded	MQ210913-29			wastewater metagenome	2020-01-17	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1A-15
SAMN33821628	Successfully loaded	MQ210913-30			wastewater metagenome	2020-01-17	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-15
SAMN33821629	Successfully loaded	MQ210913-33			wastewater metagenome	2019-10-03	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1A-17
SAMN33821630	Successfully loaded	MQ210913-34			wastewater metagenome	2019-10-03	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-17
SAMN33821631	Successfully loaded	MQ210913-37			wastewater metagenome	2020-01-07	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1A-19
SAMN33821632	Successfully loaded	MQ210913-38			wastewater metagenome	2020-01-07	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-19
SAMN33821633	Successfully loaded	MQ210913-39			wastewater metagenome	2020-02-18	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1A-20
SAMN33821634	Successfully loaded	MQ210913-40			wastewater metagenome	2020-02-18	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-20
SAMN33821635	Successfully loaded	MQ210913-42			wastewater metagenome	2020-01-29	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-21
SAMN33821636	Successfully loaded	MQ210913-45			wastewater metagenome	2019-11-12	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1A-23
SAMN33821637	Successfully loaded	MQ210913-46			wastewater metagenome	2019-11-12	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-23
SAMN33821638	Successfully loaded	MQ210913-47			wastewater metagenome	2019-10-31	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1A-24
SAMN33821639	Successfully loaded	MQ210913-48			wastewater metagenome	2019-10-31	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-24
SAMN33821640	Successfully loaded	MQ210913-49			wastewater metagenome	2020-02-06	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1A-25
SAMN33821641	Successfully loaded	MQ210913-50			wastewater metagenome	2020-02-06	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-25
SAMN33821642	Successfully loaded	MQ210913-51			wastewater metagenome	2020-02-14	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1A-26
SAMN33821643	Successfully loaded	MQ210913-52			wastewater metagenome	2020-02-14	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-26
SAMN33821644	Successfully loaded	MQ210913-53			wastewater metagenome	2019-03-27	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1A-27
SAMN33821645	Successfully loaded	MQ210913-54			wastewater metagenome	2019-03-27	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-27
SAMN33821646	Successfully loaded	MQ210913-57			wastewater metagenome	2019-07-25	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1A-29
SAMN33821647	Successfully loaded	MQ210913-60			wastewater metagenome	2019-07-11	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-30
SAMN33821648	Successfully loaded	MQ210913-61			wastewater metagenome	2019-07-05	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1A-31
SAMN33821649	Successfully loaded	MQ210913-62			wastewater metagenome	2019-07-05	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-31
SAMN33821650	Successfully loaded	MQ210913-63			wastewater metagenome	2019-06-18	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1A-32
SAMN33821651	Successfully loaded	MQ210913-64			wastewater metagenome	2019-06-18	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-32
SAMN33821652	Successfully loaded	MQ210913-65			wastewater metagenome	2019-07-19	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1A-33
SAMN33821653	Successfully loaded	MQ210913-66			wastewater metagenome	2019-07-19	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-33
SAMN33821654	Successfully loaded	MQ210913-68			wastewater metagenome	2019-06-14	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-34
SAMN33821655	Successfully loaded	MQ210913-69			wastewater metagenome	2019-07-30	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1A-35
SAMN33821656	Successfully loaded	MQ210913-70			wastewater metagenome	2019-07-30	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-35
SAMN33821657	Successfully loaded	MQ210913-71			wastewater metagenome	2019-08-22	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1A-36
SAMN33821658	Successfully loaded	MQ210913-72			wastewater metagenome	2019-08-22	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1B-36
SAMN33821659	Successfully loaded	MQ210913-73			wastewater metagenome	2019-08-09	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	210913_M00878_0451_000000000-JRM29_1	LIB-RAND-A-1A-37
SAMN33821660	Successfully loaded	MQ211101-2			wastewater metagenome	2019-08-14	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	211101_NEW_M00878_0459_000000000-K24CB_1	LIB-RAND-A-1B-38
SAMN33821661	Successfully loaded	MQ211101-3			wastewater metagenome	2019-03-19	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	211101_NEW_M00878_0459_000000000-K24CB_1	LIB-RAND-A-1A-39
SAMN33821662	Successfully loaded	MQ211101-4			wastewater metagenome	2019-03-19	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	211101_NEW_M00878_0459_000000000-K24CB_1	LIB-RAND-A-1B-39
SAMN33821663	Successfully loaded	MQ211101-5			wastewater metagenome	2019-04-16	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	211101_NEW_M00878_0459_000000000-K24CB_1	LIB-RAND-A-1A-40
SAMN33821664	Successfully loaded	MQ211101-6			wastewater metagenome	2019-04-16	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	211101_NEW_M00878_0459_000000000-K24CB_1	LIB-RAND-A-1B-40
SAMN33821665	Successfully loaded	MQ211101-9			wastewater metagenome	2019-04-12	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	211101_NEW_M00878_0459_000000000-K24CB_1	LIB-RAND-A-1A-42
SAMN33821666	Successfully loaded	MQ211101-10			wastewater metagenome	2019-04-12	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	211101_NEW_M00878_0459_000000000-K24CB_1	LIB-RAND-A-1B-42
SAMN33821667	Successfully loaded	MQ211101-11			wastewater metagenome	2019-08-27	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	211101_NEW_M00878_0459_000000000-K24CB_1	LIB-RAND-A-1A-43
SAMN33821668	Successfully loaded	MQ211101-12			wastewater metagenome	2019-08-27	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	211101_NEW_M00878_0459_000000000-K24CB_1	LIB-RAND-A-1B-43
SAMN33821669	Successfully loaded	MQ211101-13			wastewater metagenome	2019-03-15	aquatic biome [ENVO:00002030]	Waste Water [ENVO:00002001]	Waste Water [ENVO:00002001]	Denmark:Randers	56.4539 N 10.0708 E	after primary settling	IWW	211101_NEW_M00878_0459_000000000-K24CB_1	LIB-RAND-A-1A-44
